video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label
FJxisWyt6b4,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Govt. gave me  *SAMSUNG TABLET* 😳🎉 #govinda #medicalstudent #neet2025 #doctor,,Dr. Poorvi Sachan,2025-05-10T10:30:10Z,2025,13822217,391461,3601,PT43S,unknown,https://www.youtube.com/watch?v=FJxisWyt6b4,3,Removed
HCI1VgDS0aQ,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU SHILLONG NI BADIA BUILDING O MIGRATION CERTIFICATE NA APPLY ARO ISSUE KA.A ??,NEHU SHILLONG NI BADIA BUILDING O MIGRATION CERTIFICATE NA APPLY ARO ISSUE KA.A ??,GARO MOUNTAINEER,2023-09-26T22:09:11Z,2023,451,18,3,PT6M12S,unknown,https://www.youtube.com/watch?v=HCI1VgDS0aQ,3,Removed
xwnXkyRqkcg,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,🏛️ Govt Jobs Without Interview –(2025)👇,Govt Jobs Without Interview –(2025)   1️⃣ India Post – GDS • ✓ 10th Pass • Direct Selection (Merit list only) • ₹10000 ...,TechChiran,2025-07-02T17:03:53Z,2025,344230,2055,32,PT6S,unknown,https://www.youtube.com/watch?v=xwnXkyRqkcg,3,Removed
7g3zbjsGrqg,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,"Dr. Pushpa Savadatti, Professor &amp; Head, Dept of Economic Studies and PlanningCUK, Kalaburagi",Lecture delivered in Two days National Level Conference on “Bharat at 2035 – A Transformational Vision for Indian Higher ...,CMDR Dharwad,2023-06-28T10:26:05Z,2023,230,4,0,PT35M15S,unknown,https://www.youtube.com/watch?v=7g3zbjsGrqg,3,Removed
MNoikAMiH14,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Too Honest Answer? Whats your opinion? #beautypageant,,The Great Pageant Community,2025-02-11T11:29:00Z,2025,3353780,60850,1462,PT36S,unknown,https://www.youtube.com/watch?v=MNoikAMiH14,3,Removed
HezRFCpiofs,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Expected salary after BSc!!!🤯🤯,,Broke Brothers,2024-11-21T11:00:18Z,2024,883523,19237,763,PT44S,unknown,https://www.youtube.com/watch?v=HezRFCpiofs,3,Removed
xlolMGaeCzY,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Why NO Jobs After BSc?🥲 Career After BSc #bsc #jobsearch,"Why NO Jobs After BSc?   Career After BSc #bsc #jobsearch Hey People, Done with your BSc Degree? Still pursuing your BSc ...",Ayushi Gupta Live ,2024-09-17T12:36:00Z,2024,444008,6662,245,PT29S,unknown,https://www.youtube.com/watch?v=xlolMGaeCzY,3,Removed
Uh3_2mIUX_0,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,HIGHEST Placement SALARY - Top 5 Engineering Colleges in INDIA! | Ankur Warikoo #shorts,My Money Apps: https://bit.ly/3Zg56eR My bestselling books: 'GET EPIC SHIT DONE': https://ankurwarikoo.com/getepicshitdone ...,warikoo,2023-07-15T06:30:10Z,2023,572941,15466,376,PT35S,unknown,https://www.youtube.com/watch?v=Uh3_2mIUX_0,3,Removed
YmtcVsr4AHQ,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Chiropractic Treatment for Corporate People | Dr Vijay Non Surgical | Chiropractic Treatment,Chiropractic Treatment for Corporate People | Dr Vijay Non Surgical | Chiropractic Treatment #chiropractic #chiropractor ...,DrVijayNonSurgical,2024-01-31T13:04:06Z,2024,3375623,39240,0,PT25S,unknown,https://www.youtube.com/watch?v=YmtcVsr4AHQ,3,Removed
RPoAWZQdAfE,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Best Placement Ever 😱 | Placement Day : CGC Jhanjeri #placement #interview #package,Free Admission Counselling (No Charges) WhatsApp: https://wa.me/917347470137 🎟️ Exclusive Offer Get up to 100% OFF ...,MG MHJN,2024-12-10T20:18:42Z,2024,334059,0,107,PT22S,unknown,https://www.youtube.com/watch?v=RPoAWZQdAfE,3,Removed
N81cbbgRhd4,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,More Doctors or more Civil Servants🔥| Upsc interview | IAS interview #upscinterview #ias #upsc,,UPSC Daily ,2024-07-30T14:30:08Z,2024,1164875,24339,212,PT17S,unknown,https://www.youtube.com/watch?v=N81cbbgRhd4,3,Removed
U1ExU_t_mfM,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,How to get Govt. Job ? Reality 🥲 #govtjobs #motivation,,GOLDEN ASO,2024-02-02T11:30:12Z,2024,444742,11086,68,PT14S,unknown,https://www.youtube.com/watch?v=U1ExU_t_mfM,3,Removed
KN5JorvQYjM,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,Allopathy vs others                        #mbbs #bams #ayurveda,,upscbyte,2023-12-26T12:25:56Z,2023,140591,3576,145,PT1M,unknown,https://www.youtube.com/watch?v=KN5JorvQYjM,3,Removed
a2o9X0umX-Q,Central University of Karnataka,controversies,scam,Central University of Karnataka scam,I Got Placed At This Company After B.Sc | My Job Role  #minivlog #jobs #placement #placed #vlogs,I Got Placed At This Company After B.Sc | My Job Role #minivlog #jobs #placement #placed #vlogs My Instagram- ...,Anjali Verma,2023-08-03T08:24:59Z,2023,1247662,22192,442,PT31S,unknown,https://www.youtube.com/watch?v=a2o9X0umX-Q,3,Removed
fb0Un_CdqDE,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NEHU BA LLB Admission 2026 Complete Details | Fees, Cutoff. Duration, Admission Process","NEHU BA LLB Admission 2026 Complete Details | Fees, Cutoff, Duration, Admission Process Buy Our Ebooks: ...",The Social Class,2025-11-01T13:30:46Z,2025,1035,0,22,PT5M14S,unknown,https://www.youtube.com/watch?v=fb0Un_CdqDE,3,Removed
GZcRVZQ0bgg,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU University 📚 Shillong Review by Friends || Joeyvlogs esp.2,"Hello , In this video ill be asking my friends to review about various department of nehu enjoy music used : swipesy cakewalk - E'a ...",Joey TV ,2024-05-28T14:46:28Z,2024,16423,267,342,PT13M47S,unknown,https://www.youtube.com/watch?v=GZcRVZQ0bgg,3,Removed
3CGhjUATVfo,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU Vice Chancellor PS Shukla for implementation of National Education Policy from 2023-24,NEHU Vice Chancellor PS Shukla for implementation of National Education Policy from 2023-24.,Meghalaya Monitor,2023-05-25T16:09:02Z,2023,291,5,0,PT1M41S,unknown,https://www.youtube.com/watch?v=3CGhjUATVfo,3,Removed
ATVYZEELo0c,Pondicherry University,controversies,scam,Pondicherry University scam,🔥 Tamil Nadu Colleges Rating 2025,Top Engineering Colleges in Tamil Nadu – Rated by Namma College! Use this video as a reference before making your final ...,Namma College™,2025-07-26T15:06:35Z,2025,5619199,53497,865,PT43S,unknown,https://www.youtube.com/watch?v=ATVYZEELo0c,3,Removed
XZI1REV4qyM,Pondicherry University,controversies,scam,Pondicherry University scam,Hostel Lunch l #explore #food #foodie #foodies #hostel #hostellife #viralvideo #missinghome #lunch,"Ravenshaw University, Mahanadi Hostel Lunch l Mahanadi Hostel Lunch l Hostel Lunch l Mahanadi Hostel, Cuttack l Food ...",Kitchen Queen Daisy,2024-11-10T07:58:55Z,2024,458847,0,52,PT35S,unknown,https://www.youtube.com/watch?v=XZI1REV4qyM,3,Removed
rLN_OKKsFWE,Pondicherry University,controversies,scam,Pondicherry University scam,Top 10 Private Medical Colleges in Tamil Nadu 2025 | Best MBBS Colleges Ranking,"Explore the Top 10 Private Medical Colleges in Tamil Nadu (2025 Ranking) — including CMC Vellore, PSG, SRM, ...",Shad Aman Khan,2025-08-03T07:30:05Z,2025,823376,1716,36,PT5S,unknown,https://www.youtube.com/watch?v=rLN_OKKsFWE,3,Removed
_VHs0h6Yr1A,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU Shillong 😮🇮🇳#shillong #nehu #meghalaya,,Dewan Sumon,2025-05-11T12:32:18Z,2025,389536,6790,63,PT16S,unknown,https://www.youtube.com/watch?v=_VHs0h6Yr1A,3,Removed
4Orrvpj0NuI,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NEHU Fee Structure for BA, MA, MBA, ITEP,  B.Tech, M.Tech, PhD, and All Courses | NEHU Shillong",University Details & Updates: https://thesocialclass.in/category/univeristiy-updates/ Buy Our Ebooks: ...,The Social Class,2025-12-12T03:30:03Z,2025,1442,0,11,PT7M,unknown,https://www.youtube.com/watch?v=4Orrvpj0NuI,3,Removed
W6nH04LQezQ,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,A Day at NEHU Law Department | Nehu campus Shillong|Nehu law department tour 🧑‍⚖️,"Welcome to our exclusive tour of the NEHU Law Department! In this video, we take you inside the prestigious North-Eastern Hill ...",The law Latte,2025-05-11T14:05:39Z,2025,3564,87,119,PT6M51S,unknown,https://www.youtube.com/watch?v=W6nH04LQezQ,3,Removed
EOfuVmQgFes,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NEHU University, shillong.... full video https://youtu.be/Fmcdfl24KtM?si=NnxYUzwFsBNSq8-i #nehu",full campus tour video link ....https://youtu.be/Fmcdfl24KtM?si=NnxYUzwFsBNSq8-i.,DeEpAk InSaNe Vlog,2024-06-19T10:58:41Z,2024,63592,931,67,PT22S,unknown,https://www.youtube.com/watch?v=EOfuVmQgFes,3,Removed
dL8j2Qv6RoU,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU hostel mess food breakfast 😋#nehu #meghalaya #news #food,,SH Kriesun,2025-07-16T09:06:48Z,2025,4883,87,23,PT1M37S,unknown,https://www.youtube.com/watch?v=dL8j2Qv6RoU,3,Removed
vfgt1GAcLDg,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NEHU Admission 2026 🎓 | NEHU Admission process, Fee structure, hostel food 😋  GYM 🏋️‍♀️ ",NEHU admission 2026 notification. NEHU admission Eligibility criteria. NEHU course offered! NEHU hostel details explanation ...,SH Kriesun,2026-05-06T11:06:17Z,2026,1329,34,109,PT25M32S,unknown,https://www.youtube.com/watch?v=vfgt1GAcLDg,3,Removed
WWidA3ZNZ2c,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,A Day in My Life at NEHU | Law Student Vlog🧑‍⚖️| True experience of NEHU CAMPUS 💗| Nehu campus,A Day in My Life as a Law Student at NEHU | North-Eastern Hill University Vlog Hey everyone! Join me for a realistic day in my life ...,The law Latte,2025-05-25T13:50:14Z,2025,1690,43,50,PT3M15S,unknown,https://www.youtube.com/watch?v=WWidA3ZNZ2c,3,Removed
tQbJ_ef3yi8,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NEHU, Department Of Law... #ballb #cuet #ugc #ug #nta #nehu #campus #nehucampus #nehulaw #law",,Bala Jee,2024-11-03T19:01:55Z,2024,4137,93,33,PT29S,unknown,https://www.youtube.com/watch?v=tQbJ_ef3yi8,3,Removed
HTI7AB0KxIs,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU 2025 Review: Shocking Placement Stats &amp; Cutoff Details 👀,NEHU 2025 Review: Shocking Placement Stats & Cutoff Details College Reviews Series 2025: IIT College Review 2025 Get ...,Apka Siddharth,2025-01-15T13:34:21Z,2025,2862,0,20,PT8M30S,unknown,https://www.youtube.com/watch?v=HTI7AB0KxIs,3,Removed
QOJJbjGjN3Y,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NEHU Admission 2025 | Complete Guide – Courses, Fees, Hostel Life, Scholarships &amp; More📚 #nehu","NEHU Admission 2025 | Complete Guide – Courses, Fees, Hostel Life, Scholarships & More! Thinking of studying at ...",The law Latte,2025-06-01T12:54:46Z,2025,6657,143,248,PT7M30S,unknown,https://www.youtube.com/watch?v=QOJJbjGjN3Y,3,Removed
6vsCUl7hI3o,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,Prom night at NEHU shillong 📍#nehu #india #prom #shkriesun #minivlog #shillong #djnight #shorts,NEHU shillong North-Eastern Hill University Shillong campus. NEHU University nehu shillong prom night.,SH Kriesun,2025-04-21T18:14:17Z,2025,18320,351,30,PT37S,unknown,https://www.youtube.com/watch?v=6vsCUl7hI3o,3,Removed
R4aC0mJvrhQ,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,#Waterfall NEHU ❣️ Meghalaya #short #subscribe,,DeEpAk InSaNe Vlog,2023-02-27T06:58:34Z,2023,201,22,20,PT12S,unknown,https://www.youtube.com/watch?v=R4aC0mJvrhQ,3,Removed
okMszGchE78,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,A Day in My Life as a Law Student at NEHU🌻| #collogevlog #minivlog #nehudiaries #shillongvlog,"Spend a day with me as a law student at North-Eastern Hill University (NEHU)! From early morning routines to lectures, study ...",The law Latte,2025-04-24T13:22:11Z,2025,5278,94,46,PT1M1S,unknown,https://www.youtube.com/watch?v=okMszGchE78,3,Removed
HH81vtBDJbw,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,Top Engineering Colleges in North East India | Complete Guide | Admission &amp; Placements| Intellipaat,"Explore More About IntelliPaat School of Technology: https://intellipaat.com/ist/ Join IST Today, Free Application Form: ...",Intellipaat,2026-02-16T14:45:24Z,2026,2838,30,10,PT7M16S,unknown,https://www.youtube.com/watch?v=HH81vtBDJbw,3,Removed
kkwT2tQAniU,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU visit || went with my friend for a cafe promotion☕️🍕 || Shillong 📍,,Glimpse of my life ,2026-06-11T13:56:44Z,2026,104,19,14,PT8M17S,unknown,https://www.youtube.com/watch?v=kkwT2tQAniU,3,Removed
utL3TihJNF4,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEP-2020 TO BE IMPLEMENTED IN NEHU-AFFILIATED COLLEGES: CONRAD SANGMA,"The Chief Minister of Meghalaya, Conrad K Sangma, in his interaction with media persons on 2 August, 2023 had spoken on the ...",Media Plus Shillong,2023-08-02T14:51:21Z,2023,121,4,0,PT3M31S,unknown,https://www.youtube.com/watch?v=utL3TihJNF4,3,Removed
7croCtBw5Eg,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,NEHU CAMPUS,,Dewan Vlogs ,2023-04-22T17:35:11Z,2023,236,6,0,PT17S,unknown,https://www.youtube.com/watch?v=7croCtBw5Eg,3,Removed
sg-foAdw-gg,North Eastern Hill University,controversies,scam,North Eastern Hill University scam,"NCET 2026 Fee Structure For Top Colleges | AMU, NEHU, CUH, DU BA BED &amp; BSc BED Fees 2026","NCET 2026 Fee Structure For Top Colleges | AMU, NEHU, CUH, DU BA BEd & BSc BEd Fees 2026 Avail Our Ebook Offer – Buy ...",The Social Class,2026-02-07T03:45:27Z,2026,703,0,1,PT5M30S,unknown,https://www.youtube.com/watch?v=sg-foAdw-gg,3,Removed
