video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text
xxS2hfpYrVA,Lovely Professional University,faculty_research,faculty,Lovely Professional University faculty,LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts,"LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts Guys, in this short video you will ...",Family Connection,2023-04-12T12:22:05Z,2023,205436,6827,63,PT27S,unknown,https://www.youtube.com/watch?v=xxS2hfpYrVA,28,Relevant,LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts,"LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts Guys, in this short video you will .","LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts Guys, in this short video you will ."
dHwwpcEr8gQ,Lucknow University,faculty_research,plagiarism,Lucknow University plagiarism,RESEARCH ETHICS | Plagiarism | Part 3 | The Series,"RESEARCH ETHICS | Plagiarism | Part 3 Welcome to our YouTube series ""Research Ethics"" hosted by Charu Yadav, a Senior ...",Applied Economics Insights,2024-06-30T17:12:05Z,2024,72,5,0,PT4M2S,unknown,https://www.youtube.com/watch?v=dHwwpcEr8gQ,27,Relevant,RESEARCH ETHICS | Plagiarism | Part 3 | The Series,"RESEARCH ETHICS | Plagiarism | Part 3 Welcome to our YouTube series ""Research Ethics"" hosted by Charu Yadav, a Senior .","RESEARCH ETHICS | Plagiarism | Part 3 | The Series RESEARCH ETHICS | Plagiarism | Part 3 Welcome to our YouTube series ""Research Ethics"" hosted by Charu Yadav, a Senior ."
ynJQHSfYYJ0,Ashoka University,faculty_research,faculty,Ashoka University faculty,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9,Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor ...,NEWS9 Live,2023-08-17T06:11:55Z,2023,1873,17,4,PT5M45S,unknown,https://www.youtube.com/watch?v=ynJQHSfYYJ0,27,Relevant,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9,Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor .,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9 Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor .
Ghl6tNPQSLs,SRM Institute of Science and Technology,faculty_research,faculty,SRM Institute of Science and Technology faculty,SRM IST - Trichy - About the Faculty of Physiotherapy,SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with ...,"SRM Institute of Science and Technology, Trichy",2023-05-19T08:04:20Z,2023,2464,50,2,PT22S,unknown,https://www.youtube.com/watch?v=Ghl6tNPQSLs,27,Relevant,SRM IST - Trichy - About the Faculty of Physiotherapy,SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with .,SRM IST - Trichy - About the Faculty of Physiotherapy SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with .
iSKS2Po0fKA,Delhi University,faculty_research,plagiarism,Delhi University plagiarism,How to remove AI plagiarism from research paper? | ezephd,How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: ...,ezephd,2025-08-31T11:35:45Z,2025,77757,517,12,PT9S,unknown,https://www.youtube.com/watch?v=iSKS2Po0fKA,27,Relevant,How to remove AI plagiarism from research paper? | ezephd,How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: .,How to remove AI plagiarism from research paper? | ezephd How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: .
8uWJbVgZccA,Ashoka University,faculty_research,faculty,Ashoka University faculty,Meet the World-Class Faculty at Ashoka University,"Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom.",Ashoka University,2025-09-09T10:25:36Z,2025,2864,39,0,PT4M1S,unknown,https://www.youtube.com/watch?v=8uWJbVgZccA,26,Relevant,Meet the World-Class Faculty at Ashoka University,"Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom.","Meet the World-Class Faculty at Ashoka University Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom."
kB25SJPRDME,BITS Pilani,faculty_research,faculty,BITS Pilani faculty,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD &amp; Experienced Professionals,BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.,CINI CUTIE FAM,2025-09-15T06:47:06Z,2025,332,2,0,PT16S,unknown,https://www.youtube.com/watch?v=kB25SJPRDME,26,Relevant,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD & Experienced Professionals,BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD & Experienced Professionals BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.
n-23R0BaAnc,Sharda University,faculty_research,faculty,Sharda University faculty,"Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships &amp; Placements","Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready ...",Sharda University Agra (SUA),2026-02-26T08:39:27Z,2026,122,3,0,PT3M26S,unknown,https://www.youtube.com/watch?v=n-23R0BaAnc,26,Relevant,"Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships & Placements","Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready .","Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships & Placements Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready ."
BtYozEIcW1o,Ashoka University,faculty_research,faculty,Ashoka University faculty,"Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating ...",Ashoka University,2025-06-17T10:30:07Z,2025,25817,125,0,PT12M18S,unknown,https://www.youtube.com/watch?v=BtYozEIcW1o,26,Relevant,"Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating .","Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating ."
pbrVcEit9jg,Chandigarh University,faculty_research,faculty,Chandigarh University faculty,Chandigarh University Campus Tour,Chandigarh University Campus Tour. Watch the Video.,Chandigarh University - CU,2023-12-29T03:51:16Z,2023,912173,8320,61,PT14S,unknown,https://www.youtube.com/watch?v=pbrVcEit9jg,26,Relevant,Chandigarh University Campus Tour,Chandigarh University Campus Tour. Watch the Video.,Chandigarh University Campus Tour Chandigarh University Campus Tour. Watch the Video.
6QpS7mIoM2o,Sharda University,faculty_research,faculty,Sharda University faculty,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour,Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join ...,Sharda University Agra,2025-06-27T10:58:56Z,2025,22119,295,1,PT19S,unknown,https://www.youtube.com/watch?v=6QpS7mIoM2o,26,Relevant,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour,Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join .,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join .
57br3-6s3ek,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Agra | Campus Tour | Students  Reviews  | Hiring Partners Fees &amp; Salary Package,"Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at ...",Sharda University Agra (SUA),2026-04-23T11:18:38Z,2026,174,3,0,PT14M,unknown,https://www.youtube.com/watch?v=57br3-6s3ek,26,Relevant,Sharda University Agra | Campus Tour | Students Reviews | Hiring Partners Fees & Salary Package,"Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at .","Sharda University Agra | Campus Tour | Students Reviews | Hiring Partners Fees & Salary Package Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at ."
fjAySprn6SM,Central University of Rajasthan,faculty_research,faculty,Central University of Rajasthan faculty,"🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨","The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, ...",Faculty Hub,2025-08-16T12:16:02Z,2025,100,0,0,PT1M47S,unknown,https://www.youtube.com/watch?v=fjAySprn6SM,26,Relevant,"🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨","The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, .","🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨 The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, ."
FX1-06hCi6I,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Campus Tour! 🏛️✨ A Quick Glimpse #ShardaUniversity,"Take a quick virtual tour of Sharda University! 🏛️ Explore the stunning campus, modern architecture, academic buildings like the ...",Study at Sharda University Shorts,2025-06-05T06:55:10Z,2025,2007,7,0,PT15S,unknown,https://www.youtube.com/watch?v=FX1-06hCi6I,26,Relevant,Sharda University Campus Tour! 🏛️✨ A Quick Glimpse #ShardaUniversity,"Take a quick virtual tour of Sharda University! 🏛️ Explore the stunning campus, modern architecture, academic buildings like the .","Sharda University Campus Tour! 🏛️✨ A Quick Glimpse #ShardaUniversity Take a quick virtual tour of Sharda University! 🏛️ Explore the stunning campus, modern architecture, academic buildings like the ."
94_8aN6CB7A,Amity University,faculty_research,faculty,Amity University faculty,Amity University Online | Global Faculty | Online Degree | Online University | #shorts,"When faculty is global, your career grows #BeyondBoundaries Learn from international faculty with Amity University Online!",Amity University Online,2023-03-21T12:27:08Z,2023,1027,46,3,PT26S,unknown,https://www.youtube.com/watch?v=94_8aN6CB7A,26,Relevant,Amity University Online | Global Faculty | Online Degree | Online University | #shorts,"When faculty is global, your career grows #BeyondBoundaries Learn from international faculty with Amity University Online!","Amity University Online | Global Faculty | Online Degree | Online University | #shorts When faculty is global, your career grows #BeyondBoundaries Learn from international faculty with Amity University Online!"
25rZGSdJ6wA,Ashoka University,faculty_research,faculty,Ashoka University faculty,"Convocation 2026 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Reflecting on Ashoka University's journey and the promise of its graduating class, Professor Somak Raychaudhury, ...",Ashoka University,2026-05-29T08:50:25Z,2026,3918,5,0,PT17M43S,unknown,https://www.youtube.com/watch?v=25rZGSdJ6wA,26,Relevant,"Convocation 2026 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Reflecting on Ashoka University's journey and the promise of its graduating class, Professor Somak Raychaudhury, .","Convocation 2026 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University Reflecting on Ashoka University's journey and the promise of its graduating class, Professor Somak Raychaudhury, ."
oFnRuAqp6zY,Central University of Jharkhand,faculty_research,faculty,Central University of Jharkhand faculty,"CUJ Teacher’s Day Celebration 2025 | Department of Economics , Central University of Jharkhand ","The Department of Economics, Central University of Jharkhand, celebrated Teacher's Day 2025 with warmth, gratitude, and ...",Central University of Jharkhand,2025-09-12T17:11:12Z,2025,132,2,0,PT3M53S,unknown,https://www.youtube.com/watch?v=oFnRuAqp6zY,26,Relevant,"CUJ Teacher’s Day Celebration 2025 | Department of Economics , Central University of Jharkhand","The Department of Economics, Central University of Jharkhand, celebrated Teacher's Day 2025 with warmth, gratitude, and .","CUJ Teacher’s Day Celebration 2025 | Department of Economics , Central University of Jharkhand The Department of Economics, Central University of Jharkhand, celebrated Teacher's Day 2025 with warmth, gratitude, and ."
pTQ5f8E8dZE,Bennett University,faculty_research,faculty,Bennett University faculty,Professor Barbara Oakley on AI and The Future of Learning | Bennett University,"An inspiring day at Bennett University with Professor Barbara Oakley of Oakland University - a distinguished engineer, global ...",Bennett University (Times Group),2025-09-09T09:44:46Z,2025,221,4,0,PT4M48S,unknown,https://www.youtube.com/watch?v=pTQ5f8E8dZE,26,Relevant,Professor Barbara Oakley on AI and The Future of Learning | Bennett University,"An inspiring day at Bennett University with Professor Barbara Oakley of Oakland University - a distinguished engineer, global .","Professor Barbara Oakley on AI and The Future of Learning | Bennett University An inspiring day at Bennett University with Professor Barbara Oakley of Oakland University - a distinguished engineer, global ."
I1QLOXdv5fc,Chandigarh University,faculty_research,faculty,Chandigarh University faculty,Chandigarh University Campus Tour,"KnowYourCampus A happening campus filled with life & energy, Chandigarh University campus hosts plethora of events and ...",Chandigarh University - CU,2024-01-23T05:14:20Z,2024,8512,176,2,PT41S,unknown,https://www.youtube.com/watch?v=I1QLOXdv5fc,26,Relevant,Chandigarh University Campus Tour,"KnowYourCampus A happening campus filled with life & energy, Chandigarh University campus hosts plethora of events and .","Chandigarh University Campus Tour KnowYourCampus A happening campus filled with life & energy, Chandigarh University campus hosts plethora of events and ."
nEDTFOB8qwU,Sharda University,faculty_research,faculty,Sharda University faculty,Inside Sharda University Agra | Campus Tour 2025 🏫✨,"Welcome to Sharda University Agra – where knowledge meets innovation! Take a virtual tour of our beautiful campus, featuring ...",Sharda University Agra,2025-07-01T12:52:57Z,2025,35248,258,0,PT16S,unknown,https://www.youtube.com/watch?v=nEDTFOB8qwU,26,Relevant,Inside Sharda University Agra | Campus Tour 2025 🏫✨,"Welcome to Sharda University Agra – where knowledge meets innovation! Take a virtual tour of our beautiful campus, featuring .","Inside Sharda University Agra | Campus Tour 2025 🏫✨ Welcome to Sharda University Agra – where knowledge meets innovation! Take a virtual tour of our beautiful campus, featuring ."
nV4anIN_G44,Amity University,faculty_research,faculty,Amity University faculty,"Inside Amity Online with Dr. Harshita Singh, Assistant Professor | Amity University Online","Watch Dr. Harshita Singh, Assistant Professor at Amity University Online, as she shares how we're equipping our learners with ...",Amity University Online,2025-05-19T11:37:39Z,2025,1500,22,0,PT1M41S,unknown,https://www.youtube.com/watch?v=nV4anIN_G44,26,Relevant,"Inside Amity Online with Dr. Harshita Singh, Assistant Professor | Amity University Online","Watch Dr. Harshita Singh, Assistant Professor at Amity University Online, as she shares how we're equipping our learners with .","Inside Amity Online with Dr. Harshita Singh, Assistant Professor | Amity University Online Watch Dr. Harshita Singh, Assistant Professor at Amity University Online, as she shares how we're equipping our learners with ."
ahHQ--LYW5o,Ashoka University,faculty_research,faculty,Ashoka University faculty,"Convocation 2026 Address by Professor Rudrangshu Mukherjee | Chancellor, Ashoka University","The opening address of Ashoka University's Convocation 2026 was delivered by Professor Rudrangshu Mukherjee, Chancellor ...",Ashoka University,2026-05-29T08:49:32Z,2026,11871,0,0,PT3M38S,unknown,https://www.youtube.com/watch?v=ahHQ--LYW5o,26,Relevant,"Convocation 2026 Address by Professor Rudrangshu Mukherjee | Chancellor, Ashoka University","The opening address of Ashoka University's Convocation 2026 was delivered by Professor Rudrangshu Mukherjee, Chancellor .","Convocation 2026 Address by Professor Rudrangshu Mukherjee | Chancellor, Ashoka University The opening address of Ashoka University's Convocation 2026 was delivered by Professor Rudrangshu Mukherjee, Chancellor ."
kAYvuNBD_gA,Central University of Andhra Pradesh,faculty_research,faculty,Central University of Andhra Pradesh faculty,Central University of Andhra Pradesh Recruitment 2026 | Faculty Vacancy Update 🎓,Teaching aur Research field ke candidates ke liye ek shandaar opportunity! ✓ Temporary Assistant Professor ✓ Retired Faculty ...,Knowledge Sphere by Dr. Mridula Sharma,2026-05-31T14:30:25Z,2026,130,3,2,PT46S,unknown,https://www.youtube.com/watch?v=kAYvuNBD_gA,25,Relevant,Central University of Andhra Pradesh Recruitment 2026 | Faculty Vacancy Update 🎓,Teaching aur Research field ke candidates ke liye ek shandaar opportunity! ✓ Temporary Assistant Professor ✓ Retired Faculty .,Central University of Andhra Pradesh Recruitment 2026 | Faculty Vacancy Update 🎓 Teaching aur Research field ke candidates ke liye ek shandaar opportunity! ✓ Temporary Assistant Professor ✓ Retired Faculty .
PCKU2WRKa_4,SRM Institute of Science and Technology,faculty_research,faculty,SRM Institute of Science and Technology faculty,A Pathway to Progress | SRM Faculty of Science and Humanities | SRMIST,"As a second-year biotechnology student at SRM Faculty of Science and Humanities, Ms. Aaliya Abdul Sathar is on a mission to ...",SRM Institute of Science and Technology,2024-09-23T12:30:26Z,2024,3009,29,10,PT1M,unknown,https://www.youtube.com/watch?v=PCKU2WRKa_4,25,Relevant,A Pathway to Progress | SRM Faculty of Science and Humanities | SRMIST,"As a second-year biotechnology student at SRM Faculty of Science and Humanities, Ms. Aaliya Abdul Sathar is on a mission to .","A Pathway to Progress | SRM Faculty of Science and Humanities | SRMIST As a second-year biotechnology student at SRM Faculty of Science and Humanities, Ms. Aaliya Abdul Sathar is on a mission to ."
glW_HzAckW0,SRM Institute of Science and Technology,faculty_research,faculty,SRM Institute of Science and Technology faculty,EXPLORE CUTTING-EDGE TECH | SRM Faculty of Science and Humanities | SRMIST,"Join the Department of Computer Applications at SRM Faculty of Science and Humanities, SRMIST-KTR. Immerse yourself in a ...",SRM Institute of Science and Technology,2024-09-07T12:30:35Z,2024,133993,669,0,PT1M12S,unknown,https://www.youtube.com/watch?v=glW_HzAckW0,25,Relevant,EXPLORE CUTTING-EDGE TECH | SRM Faculty of Science and Humanities | SRMIST,"Join the Department of Computer Applications at SRM Faculty of Science and Humanities, SRMIST-KTR. Immerse yourself in a .","EXPLORE CUTTING-EDGE TECH | SRM Faculty of Science and Humanities | SRMIST Join the Department of Computer Applications at SRM Faculty of Science and Humanities, SRMIST-KTR. Immerse yourself in a ."
JCyTsSAfsHs,SRM Institute of Science and Technology,faculty_research,faculty,SRM Institute of Science and Technology faculty,SRM Faculty of Science and Humanities Celebrates Pongal | SRMIST,"Join us as SRM Faculty of Science and Humanities celebrates Thai Pongal, a time to embrace gratitude, growth, and new ...",SRM Institute of Science and Technology,2025-01-13T14:30:09Z,2025,1542,36,0,PT49S,unknown,https://www.youtube.com/watch?v=JCyTsSAfsHs,25,Relevant,SRM Faculty of Science and Humanities Celebrates Pongal | SRMIST,"Join us as SRM Faculty of Science and Humanities celebrates Thai Pongal, a time to embrace gratitude, growth, and new .","SRM Faculty of Science and Humanities Celebrates Pongal | SRMIST Join us as SRM Faculty of Science and Humanities celebrates Thai Pongal, a time to embrace gratitude, growth, and new ."
IrE30DyQDjE,Gujarat University,faculty_research,plagiarism,Gujarat University plagiarism,How to Prepare PDF Of Term Paper /Research Paper/Assignment With Plagiarism Report|| Urdu/ English,"This lecture focuses on preparing a PDF version of your term paper, assignment, and research paper to submit to your instructor.",Muhammad Yousaf,2024-12-19T12:02:49Z,2024,252,20,6,PT15M12S,unknown,https://www.youtube.com/watch?v=IrE30DyQDjE,25,Relevant,How to Prepare PDF Of Term Paper /Research Paper/Assignment With Plagiarism Report|| Urdu/ English,"This lecture focuses on preparing a PDF version of your term paper, assignment, and research paper to submit to your instructor.","How to Prepare PDF Of Term Paper /Research Paper/Assignment With Plagiarism Report|| Urdu/ English This lecture focuses on preparing a PDF version of your term paper, assignment, and research paper to submit to your instructor."
